Date,Open,High,Low,Close,Adj Close,Volume
2020-07-16,1877.000000,1878.810059,1866.420044,1876.170044,1876.170044,0
2020-07-17,1876.939941,1887.250000,1870.949951,1882.579956,1882.579956,0
2020-07-20,1882.810059,1902.439941,1878.310059,1899.030029,1899.030029,0
2020-07-21,1901.319946,1914.750000,1897.410034,1902.500000,1902.500000,0
2020-07-22,1902.140015,1914.829956,1901.089966,1913.319946,1913.319946,0
2020-07-23,1913.290039,1917.239990,1882.660034,1891.130005,1891.130005,0
2020-07-24,1889.699951,1889.699951,1868.540039,1877.040039,1877.040039,0
2020-07-27,1877.589966,1893.880005,1877.130005,1893.099976,1893.099976,0
2020-07-28,1892.810059,1895.170044,1878.630005,1879.670044,1879.670044,0
2020-07-29,1881.000000,1908.869995,1881.000000,1905.630005,1905.630005,0
2020-07-30,1904.739990,1904.739990,1874.689941,1899.170044,1899.170044,0
2020-07-31,1902.089966,1911.400024,1880.680054,1909.890015,1909.890015,0
2020-08-03,1917.739990,1930.810059,1917.739990,1926.550049,1926.550049,0
2020-08-04,1926.699951,1933.900024,1921.979980,1933.719971,1933.719971,0
2020-08-05,1935.449951,1949.310059,1935.449951,1948.250000,1948.250000,0
2020-08-06,1947.949951,1959.180054,1942.030029,1958.040039,1958.040039,0
2020-08-07,1955.390015,1960.410034,1945.449951,1959.479980,1959.479980,0
2020-08-10,1960.810059,1965.750000,1950.599976,1963.880005,1963.880005,0
2020-08-11,1964.260010,1976.619995,1944.319946,1948.290039,1948.290039,0
2020-08-12,1950.250000,1978.339966,1950.250000,1974.479980,1974.479980,0
2020-08-13,1973.260010,1980.780029,1966.689941,1972.229980,1972.229980,0
2020-08-14,1971.640015,1975.079956,1965.459961,1971.339966,1971.339966,0
2020-08-17,1972.910034,1981.520020,1972.910034,1979.630005,1979.630005,0
2020-08-18,1981.339966,1986.199951,1971.890015,1982.489990,1982.489990,0
2020-08-19,1983.079956,1988.329956,1971.140015,1973.890015,1973.890015,0
2020-08-20,1972.180054,1983.439941,1961.949951,1980.290039,1980.290039,0
2020-08-21,1980.150024,1986.520020,1976.930054,1984.989990,1984.989990,0
2020-08-24,1991.290039,2004.000000,1991.290039,2003.670044,2003.670044,0
2020-08-25,2005.339966,2010.949951,1999.589966,2010.619995,2010.619995,0
2020-08-26,2011.310059,2031.030029,2010.739990,2029.420044,2029.420044,0
2020-08-27,2029.939941,2043.510010,2024.030029,2033.839966,2033.839966,0
2020-08-28,2039.680054,2048.310059,2035.329956,2047.810059,2047.810059,0
2020-08-31,2047.709961,2053.370117,2039.969971,2045.010010,2045.010010,0
2020-09-01,2045.400024,2062.939941,2042.300049,2062.439941,2062.439941,0
2020-09-02,2062.760010,2093.510010,2062.149902,2089.830078,2089.830078,0
2020-09-03,2062.760010,2093.510010,1999.660034,2014.849976,2014.849976,0
2020-09-04,2014.260010,2029.130005,1950.680054,1997.880005,1997.880005,5673400
2020-09-08,1994.140015,1994.140015,1939.790039,1940.989990,1940.989990,0
2020-09-09,1943.729980,1993.760010,1943.729980,1980.150024,1980.150024,4975100
2020-09-10,1980.300049,1997.910034,1942.500000,1947.540039,1947.540039,0
2020-09-11,1949.540039,1963.550049,1929.390015,1946.979980,1946.979980,0
2020-09-14,1947.790039,1984.260010,1947.790039,1977.219971,1977.219971,0
2020-09-15,1979.510010,1998.479980,1979.510010,1988.410034,1988.410034,0
2020-09-16,1989.869995,2006.660034,1980.979980,1981.530029,1981.530029,0
2020-09-17,1977.329956,1977.329956,1948.030029,1964.599976,1964.599976,0
2020-09-18,1965.550049,1969.420044,1929.030029,1945.719971,1945.719971,0
2020-09-21,1943.040039,1943.040039,1890.750000,1922.290039,1922.290039,0
2020-09-22,1924.089966,1943.810059,1915.239990,1941.209961,1941.209961,0
2020-09-23,1941.079956,1945.199951,1891.790039,1893.680054,1893.680054,0
2020-09-24,1893.189941,1917.579956,1875.060059,1897.839966,1897.839966,0
2020-09-25,1897.880005,1934.310059,1890.709961,1929.699951,1929.699951,0
2020-09-28,1932.089966,1967.089966,1932.089966,1962.160034,1962.160034,0
2020-09-29,1962.060059,1965.660034,1948.810059,1953.050049,1953.050049,0
2020-09-30,1952.849976,1985.609985,1952.849976,1968.089966,1968.089966,0
2020-10-01,1969.369995,1988.449951,1969.369995,1982.839966,1982.839966,0
2020-10-02,1978.390015,1978.390015,1949.489990,1966.369995,1966.369995,0
2020-10-05,1968.599976,2003.430054,1968.599976,2003.319946,2003.319946,0
2020-10-06,2002.859985,2020.010010,1975.079956,1978.300049,1978.300049,0
2020-10-07,1980.750000,2017.199951,1980.750000,2013.439941,2013.439941,0
2020-10-08,2015.699951,2030.030029,2015.699951,2029.890015,2029.890015,0
2020-10-09,2031.469971,2050.530029,2031.469971,2047.359985,2047.359985,0
2020-10-12,2056.340088,2085.610107,2056.340088,2077.679932,2077.679932,0
2020-10-13,2078.239990,2078.239990,2061.050049,2066.540039,2066.540039,0
2020-10-14,2067.000000,2076.570068,2049.179932,2053.250000,2053.250000,0
2020-10-15,2051.270020,2055.159912,2026.310059,2051.989990,2051.989990,0
2020-10-16,2052.600098,2069.110107,2049.870117,2051.060059,2051.060059,0
2020-10-19,2053.739990,2062.760010,2016.050049,2019.510010,2019.510010,0
2020-10-20,2023.199951,2046.689941,2023.199951,2027.260010,2027.260010,0
2020-10-21,2026.040039,2039.040039,2020.030029,2020.359985,2020.359985,0
2020-10-22,2020.479980,2036.979980,2009.859985,2033.079956,2033.079956,0
2020-10-23,2035.869995,2042.319946,2025.420044,2040.890015,2040.890015,0
2020-10-26,2037.229980,2037.229980,1981.180054,2002.739990,2002.739990,0
2020-10-27,2002.979980,2007.089966,1995.209961,1995.969971,1995.969971,0
2020-10-28,1994.079956,1994.079956,1926.949951,1928.010010,1928.010010,0
2020-10-29,1928.040039,1966.540039,1921.739990,1950.130005,1950.130005,0
2020-10-30,1946.479980,1946.479980,1904.780029,1923.699951,1923.699951,0
2020-11-02,1925.109985,1958.290039,1925.109985,1947.630005,1947.630005,0
2020-11-03,1949.900024,1994.969971,1949.900024,1984.780029,1984.780029,0
2020-11-04,1987.489990,2050.370117,1987.489990,2026.550049,2026.550049,0
2020-11-05,2031.089966,2076.350098,2031.089966,2068.459961,2068.459961,0
2020-11-06,2068.250000,2070.830078,2054.760010,2065.669922,2065.669922,0
2020-11-09,2069.129883,2140.320068,2069.129883,2090.360107,2090.360107,0
2020-11-10,2087.719971,2094.870117,2066.360107,2088.879883,2088.879883,0
2020-11-11,2090.239990,2108.750000,2090.239990,2105.149902,2105.149902,0
2020-11-12,2105.090088,2105.090088,2073.229980,2084.020020,2084.020020,0
2020-11-13,2084.840088,2116.810059,2084.840088,2112.379883,2112.379883,0
2020-11-16,2112.729980,2139.250000,2112.729980,2138.510010,2138.510010,0
2020-11-17,2137.770020,2140.530029,2117.870117,2133.100098,2133.100098,0
2020-11-18,2133.520020,2140.550049,2110.820068,2111.050049,2111.050049,0
2020-11-19,2110.449951,2123.580078,2099.639893,2122.370117,2122.370117,0
2020-11-20,2122.010010,2122.050049,2110.760010,2110.899902,2110.899902,0
2020-11-23,2111.419922,2132.939941,2111.419922,2127.199951,2127.199951,0
